CLASS,PIT Line Coverage,Mutation Score
AbstractConfiguration,96,96
AbstractHierarchicalConfiguration,97,97
AbstractYAMLBasedConfiguration,98,81
BaseConfiguration,95,100
BaseConfigurationXMLReader,100,90
BaseHierarchicalConfiguration,96,93
CombinedConfiguration,96,95
CompositeConfiguration,95,86
ConfigurationConverter,92,100
ConfigurationLookup,100,100
ConfigurationMap,92,81
ConfigurationUtils,88,89
ConfigurationXMLReader,78,70
DataConfiguration,98,89
DatabaseConfiguration,92,74
DynamicCombinedConfiguration,62,47
FindNodeVisitor,100,100
HierarchicalConfigurationConverter,98,89
HierarchicalConfigurationXMLReader,100,100
INIConfiguration,98,82
ImmutableConfigurationInvocationHandler,100,100
JNDIConfiguration,94,85
JSONConfiguration,64,40
MapConfiguration,93,94
PatternSubtreeConfigurationWrapper,23,8
PrefixedKeysIterator,90,100
PropertiesConfiguration,96,95
PropertiesConfigurationLayout,97,95
StrictConfigurationComparator,100,100
SubnodeConfiguration,100,100
SubsetConfiguration,95,95
SystemConfiguration,91,88
XMLConfiguration,96,89
XMLDocumentHelper,100,100
XMLListReference,100,85
XMLPropertiesConfiguration,87,74
YAMLConfiguration,63,54
BeanHelper,83,90
CombinedBeanDeclaration,100,100
ConfigurationDynaBean,90,88
ConfigurationDynaClass,89,81
ConstructorArg,100,100
DefaultBeanFactory,100,100
XMLBeanDeclaration,88,89
AutoSaveListener,100,100
BasicBuilderParameters,98,96
BasicConfigurationBuilder,99,93
BuilderConfigurationWrapperFactory,100,100
ConfigurationBuilderEvent,100,100
ConfigurationBuilderResultCreatedEvent,100,100
CopyObjectDefaultHandler,100,100
DatabaseBuilderParametersImpl,100,100
DefaultParametersManager,100,100
DefaultReloadingDetectorFactory,100,67
EventListenerParameters,100,100
FileBasedBuilderParametersImpl,100,100
FileBasedConfigurationBuilder,100,92
HierarchicalBuilderParametersImpl,100,100
INIBuilderParametersImpl,58,30
INIBuilderProperties,0,0
JndiBuilderParametersImpl,100,100
PropertiesBuilderParametersImpl,100,100
PropertiesBuilderProperties,0,0
ReloadingBuilderSupportListener,100,100
ReloadingFileBasedConfigurationBuilder,100,100
XMLBuilderParametersImpl,100,100
BaseConfigurationBuilderProvider,97,100
CombinedBuilderParametersImpl,99,97
CombinedConfigurationBuilder,98,90
CombinedConfigurationBuilderProvider,100,80
ConfigurationDeclaration,92,88
FileExtensionConfigurationBuilderProvider,96,93
MultiFileBuilderParametersImpl,100,100
MultiFileConfigurationBuilder,99,98
MultiFileConfigurationBuilderProvider,100,90
MultiWrapDynaBean,100,100
MultiWrapDynaClass,94,75
ReloadingCombinedConfigurationBuilder,100,92
ReloadingMultiFileConfigurationBuilder,100,100
Configurations,100,100
Parameters,100,100
AbstractListDelimiterHandler,96,96
DefaultConversionHandler,100,100
DefaultListDelimiterHandler,100,100
DisabledListDelimiterHandler,100,100
LegacyListDelimiterHandler,97,87
ListDelimiterHandler,100,100
PropertyConverter,88,92
BaseEventSource,98,100
ConfigurationErrorEvent,100,100
ConfigurationEvent,100,100
Event,100,100
EventListenerList,100,100
EventListenerRegistrationData,80,71
EventType,100,100
ConfigurationInterpolator,100,100
ConstantLookup,100,85
DefaultLookups,100,100
DummyLookup,100,100
EnvironmentLookup,0,0
ExprLookup,71,64
InterpolatorSpecification,100,100
StringLookupAdapter,100,100
SystemPropertiesLookup,0,0
AbsoluteNameLocationStrategy,100,100
BasePathLocationStrategy,100,100
ClasspathLocationStrategy,100,100
CombinedLocationStrategy,100,100
ConfigurationLogger,100,100
DefaultFileSystem,78,59
FileHandler,95,93
FileLocator,100,96
FileLocatorUtils,97,94
FileSystem,78,100
FileSystemLocationStrategy,100,100
FileUtils,89,75
HomeDirectoryLocationStrategy,100,100
ProvidedURLLocationStrategy,100,100
VFSFileSystem,21,17
ParseException,48,19
PropertyListConfiguration,87,70
PropertyListParser,68,49
PropertyListParserTokenManager,63,33
SimpleCharStream,36,17
Token,58,25
TokenMgrError,0,0
XMLPropertyListConfiguration,84,81
CombinedReloadingController,100,100
FileHandlerReloadingDetector,95,88
ManagedReloadingDetector,100,100
PeriodicReloadingTrigger,100,100
ReloadingController,100,100
ReloadingEvent,100,100
VFSFileHandlerReloadingDetector,87,100
CatalogResolver,81,43
DefaultEntityResolver,40,38
ConfigurationPropertiesFactoryBean,86,75
ConfigurationPropertySource,30,33
ReadWriteSynchronizer,100,100
AbstractImmutableNodeHandler,100,100
ConfigurationNodeVisitorAdapter,75,100
DefaultConfigurationKey,97,87
DefaultExpressionEngine,100,98
DefaultExpressionEngineSymbols,100,95
ImmutableNode,100,96
InMemoryNodeModel,100,97
MergeCombiner,100,94
ModelTransaction,100,97
NodeAddData,100,100
NodeCombiner,85,50
NodeHandlerDecorator,100,100
NodeNameMatchers,100,100
NodeSelector,100,87
NodeTracker,99,95
NodeTreeWalker,100,100
NodeUpdateData,94,90
OverrideCombiner,100,100
QueryResult,100,93
ReferenceTracker,95,100
TrackedNodeHandler,100,100
TrackedNodeModel,100,84
TreeData,97,94
TreeUtils,92,0
UnionCombiner,100,100
ConfigurationAttributePointer,96,93
ConfigurationNodeIteratorAttribute,100,100
ConfigurationNodeIteratorBase,100,97
ConfigurationNodeIteratorChildren,100,100
ConfigurationNodePointer,95,83
ConfigurationNodePointerFactory,74,60
XPathContextFactory,100,100
XPathExpressionEngine,99,87
AppletConfiguration,100,100
BaseWebConfiguration,100,100
ServletConfiguration,100,100
ServletContextConfiguration,100,100
ServletFilterConfiguration,100,100
ServletRequestConfiguration,94,100
